Contig	ver. 6	ver. 7	Length
ctg7180000010587	LG2	Rem. overl.	7703
ctg7180000010585	LG2	LG2	503997
ctg7180000010582	LG2	LG2	995715
ctg7180000010582	LG2	Rem. overl.	2
ctg7180000007121	LG2	LG2	229517
ctg7180000009364	LG2	LG2	1395048
ctg7180000009758	LG2	LG2	890000
ctg7180000009758	LG6	LG6	428577
ctg7180000008253	LG2	LG2	1400000
ctg7180000008253	LG5	LG5	395284
ctg7180000008249	LG2	LG2	2002073
ctg7180000008249	LG2	Rem. overl.	9392
ctg7180000010581	LG2	LG2	278894
ctg7180000010581	LG2	Rem. overl.	10232
ctg7180000009966	LG2	LG2	3727802
ctg7180000009966	LG2	Rem. overl.	3355
ctg7180000006846	LG2	LG2	400008
ctg7180000008131	LG2	LG2	1012353
ctg7180000008131	LG2	Rem. overl.	9871
ctg7180000008130	LG2	LG2	49838
ctg7180000008130	LG2	Rem. overl.	3373
ctg7180000005617	LG2	LG2	800289
ctg7180000006064	LG2	LG2	214810
ctg7180000006064	LG2	Rem. overl.	5398
ctg7180000006171	LG2	LG2	1486075
ctg7180000006171	LG2	Rem. overl.	9932
ctg7180000010197	LG3	LG3	754549
ctg7180000010565	LG3	LG3	80616
ctg7180000010565	LG3	Rem. overl.	2753
ctg7180000010564	LG3	LG3	98558
ctg7180000010564	LG3	Rem. overl.	9313
ctg7180000005331	LG3	LG3	631770
ctg7180000005331	LG3	Rem. overl.	8831
ctg7180000007385	LG3	LG3	418100
ctg7180000007385	LG3	Rem. overl.	6143
ctg7180000005772	LG3	LG3	502243
ctg7180000005772	LG3	Rem. overl.	12998
ctg7180000009935	LG3	LG3	101199
ctg7180000010330	LG3	LG3	4816646
ctg7180000010332	LG3	LG3	56705
ctg7180000010332	LG3	Rem. overl.	16448
ctg7180000010159	LG3	LG3	300074
ctg7180000010159	LG12	LG12	94500
ctg7180000010106	LG3	LG3	1029416
ctg7180000010106	LG3	Rem. overl.	294
ctg7180000010103	LG3	LG3	856461
ctg7180000010103	LG3	Rem. overl.	4759
ctg7180000010102	LG3	LG3	2746470
ctg7180000010102	LG3	Rem. overl.	2076
ctg7180000010334	LG3	LG3	215263
ctg7180000010334	LG3	Rem. overl.	11410
ctg7180000009929	LG3	LG3	190790
ctg7180000009927	LG3	LG3	1382024
ctg7180000009546	LG3	LG3	1202803
ctg7180000009546	LG3	Rem. overl.	6
ctg7180000005731	LG3	LG3	99584
ctg7180000005731	LG3	Rem. overl.	3304
ctg7180000006198	LG3	LG3	131722
ctg7180000005945	LG3	LG3	201999
ctg7180000005945	LG3	Rem. overl.	15358
ctg7180000008941	LG3	LG3	431584
ctg7180000008941	LG3	Rem. overl.	8164
ctg7180000008932	LG3	LG3	408997
ctg7180000008932	LG3	Rem. overl.	18483
ctg7180000009332	LG3	LG3	402738
ctg7180000009332	LG3	Rem. overl.	7758
ctg7180000005652	LG3	LG3	505229
ctg7180000005652	LG3	Rem. overl.	9556
ctg7180000005726	LG3	LG3	478201
ctg7180000005726	LG3	Rem. overl.	11648
ctg7180000008924	LG4	LG4	572333
ctg7180000008924	LG4	Rem. overl.	9249
ctg7180000008926	LG4	LG4	289702
ctg7180000008926	LG4	Rem. overl.	12295
ctg7180000005362	LG4	LG4	438403
ctg7180000005362	LG4	Rem. overl.	6121
ctg7180000005365	LG4	LG4	1369889
ctg7180000005365	LG4	Rem. overl.	5789
ctg7180000010061	LG4	LG4	346686
ctg7180000010061	LG4	Rem. overl.	3115
ctg7180000010060	LG4	LG4	3232892
ctg7180000010029	LG4	LG4	582382
ctg7180000010029	LG4	Rem. overl.	6422
ctg7180000005366	LG4	LG4	43543
ctg7180000005366	LG4	Rem. overl.	10168
ctg7180000010147	LG4	LG4	416680
ctg7180000010147	LG4	Rem. overl.	3016
ctg7180000005383	LG4	LG4	1097578
ctg7180000009805	LG4	LG4	195866
ctg7180000009805	LG4	Rem. overl.	9978
ctg7180000009753	LG4	LG4	6201663
ctg7180000009236	LG4	LG4	463903
ctg7180000009236	LG4	Rem. overl.	9561
ctg7180000008628	LG4	LG4	765474
ctg7180000008628	LG4	Rem. overl.	15660
ctg7180000008627	LG4	LG4	832519
ctg7180000008627	LG4	Rem. overl.	10248
ctg7180000008626	LG4	LG4	810714
ctg7180000008626	LG4	Rem. overl.	6909
ctg7180000007530	LG4	LG4	1568054
ctg7180000007532	LG4	LG4	2319672
ctg7180000007532	LG4	Rem. overl.	16523
ctg7180000007230	LG4	LG4	1008815
ctg7180000007230	LG4	Rem. overl.	13
ctg7180000005549	LG4	LG4	631450
ctg7180000005549	LG4	Rem. overl.	7082
ctg7180000009746	LG4	LG4	656199
ctg7180000009747	LG4	LG4	91098
ctg7180000009747	LG4	Rem. overl.	6374
ctg7180000009748	LG4	LG4	368105
ctg7180000009748	LG4	Rem. overl.	3643
ctg7180000008927	LG4	LG4	1499836
ctg7180000006007	LG4	LG4	435349
ctg7180000010177	LG4	LG4	104100
ctg7180000010177	LG4	Rem. overl.	6840
ctg7180000009105	LG4	LG4	444980
ctg7180000008722	LG4	LG4	634501
ctg7180000008722	LG4	Rem. overl.	10162
ctg7180000008718	LG4	LG4	71993
ctg7180000010168	LG4	LG4	66132
ctg7180000010168	LG4	Rem. overl.	7
ctg7180000009314	LG4	LG4	1714426
ctg7180000009314	LG4	Rem. overl.	4880
ctg7180000005586	LG4	LG4	1225367
ctg7180000005653	LG4	LG4	2935108
ctg7180000005653	LG4	Rem. overl.	3830
ctg7180000010475	LG5	LG5	1036456
ctg7180000010475	LG5	Rem. overl.	10819
ctg7180000005508	LG5	LG5	2484051
ctg7180000008260	LG5	LG5	1444820
ctg7180000008260	LG5	Rem. overl.	3798
ctg7180000008259	LG5	LG5	463926
ctg7180000008259	LG5	Rem. overl.	8848
ctg7180000005591	LG5	LG5	1874695
ctg7180000005591	LG5	Rem. overl.	1805
ctg7180000010026	LG5	LG5	698790
ctg7180000010026	LG5	Rem. overl.	3858
ctg7180000010025	LG5	LG5	569856
ctg7180000010187	LG5	LG5	1030736
ctg7180000010278	LG5	LG5	3e+05
ctg7180000010278	LG16	LG16	386946
ctg7180000007075	LG5	LG5	403050
ctg7180000007075	LG5	Rem. overl.	5751
ctg7180000010101	LG5	LG5	355376
ctg7180000010101	LG5	Rem. overl.	11375
ctg7180000010051	LG5	LG5	621736
ctg7180000010051	LG5	Rem. overl.	10065
ctg7180000007957	LG5	LG5	57066
ctg7180000007957	LG5	Rem. overl.	15276
ctg7180000007951	LG5	LG5	1662970
ctg7180000007951	LG5	Rem. overl.	8191
ctg7180000006105	LG5	LG5	158734
ctg7180000006105	LG5	Rem. overl.	7898
ctg7180000006052	LG5	LG5	571442
ctg7180000006052	LG5	Rem. overl.	2832
ctg7180000006235	LG5	LG5	427807
ctg7180000006312	LG5	LG5	761494
ctg7180000009022	LG6	LG6	1597140
ctg7180000009022	LG6	Rem. overl.	2906
ctg7180000008305	LG6	LG6	855460
ctg7180000008305	LG6	Rem. overl.	9020
ctg7180000006111	LG6	LG6	501784
ctg7180000006111	LG6	Rem. overl.	41273
ctg7180000006042	LG6	LG6	287739
ctg7180000006042	LG6	Rem. overl.	5220
ctg7180000006153	LG6	LG6	106314
ctg7180000006153	LG6	Rem. overl.	11189
ctg7180000006039	LG6	LG6	726178
ctg7180000006039	LG6	Rem. overl.	15073
ctg7180000006800	LG6	LG6	570962
ctg7180000006045	LG6	LG6	107042
ctg7180000010140	LG6	LG6	120417
ctg7180000010140	LG6	Rem. overl.	14704
ctg7180000010139	LG6	LG6	621915
ctg7180000005563	LG6	LG6	2111060
ctg7180000005563	LG6	Rem. overl.	6949
ctg7180000005368	LG6	LG6	1328405
ctg7180000005368	LG6	Rem. overl.	5289
ctg7180000005350	LG6	LG6	77110
ctg7180000005350	LG6	Rem. overl.	7299
ctg7180000005367	LG6	LG6	149896
ctg7180000010523	LG6	LG6	1705062
ctg7180000010523	LG6	Rem. overl.	7056
ctg7180000010521	LG6	LG6	429571
ctg7180000010521	LG11	LG11	4350000
ctg7180000010521	LG20	LG20	560000
ctg7180000009759	LG6	LG6	2849444
ctg7180000009759	LG6	Rem. overl.	9214
ctg7180000005332	LG6	LG6	993153
ctg7180000005332	LG6	Rem. overl.	12124
ctg7180000010575	LG6	LG6	1187317
ctg7180000010575	LG6	Rem. overl.	6334
ctg7180000009950	LG6	LG6	63834
ctg7180000006149	LG6	LG6	145231
ctg7180000006149	LG6	Rem. overl.	8110
ctg7180000007106	LG6	LG6	1022850
ctg7180000010215	LG6	LG6	572594
ctg7180000008878	LG6	LG6	278198
ctg7180000008878	LG6	Rem. overl.	8159
ctg7180000007756	LG7	LG7	1174781
ctg7180000007756	LG7	Rem. overl.	8889
ctg7180000010338	LG7	LG7	802810
ctg7180000010343	LG7	LG7	342536
ctg7180000009402	LG7	LG7	2205151
ctg7180000009402	LG7	Rem. overl.	4032
ctg7180000009305	LG7	LG7	556622
ctg7180000009307	LG7	LG7	2214739
ctg7180000009307	LG7	Rem. overl.	1945
ctg7180000009308	LG7	LG7	2162779
ctg7180000009308	LG7	Rem. overl.	12982
ctg7180000005433	LG7	LG7	148533
ctg7180000005433	LG7	Rem. overl.	8554
ctg7180000008629	LG7	LG7	640418
ctg7180000010114	LG7	LG7	829368
ctg7180000010114	LG7	Rem. overl.	9663
ctg7180000010112	LG7	LG7	484327
ctg7180000010112	LG7	Rem. overl.	10464
ctg7180000010172	LG7	LG7	2358372
ctg7180000010172	LG7	Rem. overl.	6629
ctg7180000010174	LG7	LG7	722095
ctg7180000005861	LG7	LG7	404292
ctg7180000005937	LG7	LG7	2564244
ctg7180000005937	LG7	Rem. overl.	15142
ctg7180000006056	LG8	LG8	2074071
ctg7180000005405	LG8	LG8	261014
ctg7180000005405	LG8	Rem. overl.	2340
ctg7180000010322	LG8	LG8	812476
ctg7180000010322	LG8	Rem. overl.	13744
ctg7180000007236	LG8	LG8	555611
ctg7180000008355	LG8	LG8	185580
ctg7180000008355	LG8	Rem. overl.	11422
ctg7180000005421	LG8	LG8	163766
ctg7180000005421	LG8	Rem. overl.	188
ctg7180000005774	LG8	LG8	184405
ctg7180000005774	LG8	Rem. overl.	7135
ctg7180000005603	LG8	LG8	88582
ctg7180000005603	LG8	Rem. overl.	5990
ctg7180000005645	LG8	LG8	925669
ctg7180000009903	LG8	LG8	1366531
ctg7180000009042	LG8	LG8	1764966
ctg7180000009042	LG8	Rem. overl.	12067
ctg7180000007990	LG8	LG8	56816
ctg7180000007990	LG8	Rem. overl.	6814
ctg7180000007991	LG8	LG8	44932
ctg7180000005830	LG8	LG8	347375
ctg7180000005830	LG8	Rem. overl.	20672
ctg7180000006881	LG8	LG8	103680
ctg7180000006881	LG8	Rem. overl.	11740
ctg7180000008280	LG8	LG8	633260
ctg7180000008280	LG8	Rem. overl.	11481
ctg7180000008282	LG8	LG8	206130
ctg7180000008282	LG8	Rem. overl.	8469
ctg7180000008283	LG8	LG8	130983
ctg7180000008283	LG8	Rem. overl.	5788
ctg7180000008286	LG8	LG8	251484
ctg7180000008286	LG8	Rem. overl.	11298
ctg7180000009581	LG8	LG8	188504
ctg7180000009581	LG8	Rem. overl.	13747
ctg7180000009043	LG8	LG8	175276
ctg7180000009043	LG8	Rem. overl.	7497
ctg7180000009428	LG8	LG8	1404666
ctg7180000009428	LG8	Rem. overl.	10334
ctg7180000009515	LG8	LG8	186601
ctg7180000006099	LG8	LG8	740162
ctg7180000006099	LG8	Rem. overl.	6935
ctg7180000007117	LG8	LG8	618851
ctg7180000007117	LG8	Rem. overl.	9227
ctg7180000008496	LG8	LG8	455437
ctg7180000008496	LG8	Rem. overl.	49485
ctg7180000008493	LG8	LG8	608212
ctg7180000008493	LG8	Rem. overl.	9933
ctg7180000009593	LG8	LG8	450000
ctg7180000009593	LG16	LG16	747198
ctg7180000007320	LG8	LG8	336254
ctg7180000007320	LG8	Rem. overl.	8572
ctg7180000005901	LG8	LG8	1768535
ctg7180000005901	LG8	Rem. overl.	9013
ctg7180000005456	LG8	LG8	2599398
ctg7180000005857	LG8	LG8	162490
ctg7180000010209	LG8	LG8	289298
ctg7180000010209	LG8	Rem. overl.	12756
ctg7180000010513	LG9	LG9	423069
ctg7180000010513	LG9	Rem. overl.	15578
ctg7180000010512	LG9	LG9	5193595
ctg7180000010512	LG9	Rem. overl.	6121
ctg7180000005836	LG9	LG9	187957
ctg7180000008634	LG9	LG9	62611
ctg7180000007909	LG9	LG9	105910
ctg7180000008254	LG9	LG9	1403415
ctg7180000008254	LG9	Rem. overl.	7228
ctg7180000008594	LG9	LG9	70980
ctg7180000008594	LG9	Rem. overl.	7002
ctg7180000006193	LG9	LG9	1075886
ctg7180000008862	LG9	LG9	985575
ctg7180000009612	LG9	LG9	739657
ctg7180000010426	LG9	LG9	146306
ctg7180000010426	LG9	Rem. overl.	6215
ctg7180000006036	LG9	LG9	143884
ctg7180000010327	LG9	LG9	131913
ctg7180000010327	LG9	Rem. overl.	5831
ctg7180000010329	LG9	LG9	2180870
ctg7180000010329	LG9	Rem. overl.	3165
ctg7180000010027	LG9	LG9	4682502
ctg7180000010027	LG9	Rem. overl.	23163
ctg7180000009945	LG9	LG9	1748157
ctg7180000009945	LG9	Rem. overl.	11369
ctg7180000009943	LG9	LG9	811302
ctg7180000009943	LG9	Rem. overl.	8152
ctg7180000005566	LG9	LG9	623633
ctg7180000005566	LG9	Rem. overl.	10263
ctg7180000006351	LG9	LG9	283071
ctg7180000006351	LG9	Rem. overl.	7390
ctg7180000005506	LG10	LG10	252356
ctg7180000005506	LG10	Rem. overl.	6545
ctg7180000007585	LG10	LG10	784926
ctg7180000007585	LG10	Rem. overl.	11459
ctg7180000005408	LG10	LG10	135012
ctg7180000005408	LG10	Rem. overl.	16406
ctg7180000010507	LG10	LG10	4680668
ctg7180000010507	LG21	LG21	2140000
ctg7180000010109	LG10	LG10	2569209
ctg7180000010109	LG10	Rem. overl.	81796
ctg7180000010110	LG10	LG10	590776
ctg7180000005681	LG10	Rem. haplot.	20565
ctg7180000010609	LG10	LG10	2342928
ctg7180000006841	LG10	LG10	93800
ctg7180000006841	LG10	Rem. overl.	6711
ctg7180000006415	LG10	LG10	54507
ctg7180000009002	LG10	LG10	827744
ctg7180000009002	LG10	Rem. overl.	6405
ctg7180000009000	LG10	LG10	533382
ctg7180000009000	LG10	Rem. overl.	8526
ctg7180000006304	LG10	LG10	39629
ctg7180000006304	LG10	Rem. overl.	135342
deg7180000010248	LG10	LG10	81424
deg7180000010248	LG10	Rem. overl.	10466
ctg7180000006836	LG10	LG10	232172
ctg7180000006836	LG10	Rem. overl.	414
ctg7180000005750	LG10	LG10	1779262
ctg7180000005750	LG10	Rem. overl.	12956
ctg7180000005892	LG10	LG10	1912029
ctg7180000005797	LG11	LG11	667817
ctg7180000005797	LG11	Rem. overl.	11150
ctg7180000006779	LG11	LG11	119777
ctg7180000006779	LG11	Rem. overl.	1586
ctg7180000009812	LG11	LG11	332863
ctg7180000009812	LG11	Rem. overl.	7348
ctg7180000007687	LG11	LG11	1833222
ctg7180000007687	LG11	Rem. overl.	3
ctg7180000007688	LG11	LG11	1656025
ctg7180000007688	LG11	Rem. overl.	59458
ctg7180000009588	LG11	LG11	1124199
ctg7180000009588	LG11	Rem. overl.	28524
ctg7180000005511	LG11	LG11	245374
ctg7180000005511	LG11	Rem. overl.	1405
ctg7180000006159	LG11	LG11	58431
ctg7180000006159	LG11	Rem. overl.	7021
ctg7180000008506	LG11	LG11	258512
ctg7180000006224	LG11	LG11	528748
ctg7180000006224	LG11	Rem. overl.	8966
ctg7180000007689	LG11	LG11	82045
ctg7180000007689	LG11	Rem. overl.	4288
ctg7180000008881	LG11	LG11	1152666
ctg7180000010594	LG11	LG11	93841
ctg7180000010594	LG11	Rem. overl.	10456
ctg7180000005899	LG11	LG11	539828
ctg7180000005899	LG11	Rem. overl.	25121
ctg7180000007996	LG11	LG11	621866
ctg7180000007996	LG11	Rem. overl.	10385
ctg7180000008521	LG11	LG11	319947
ctg7180000008521	LG11	Rem. overl.	21691
ctg7180000005513	LG11	LG11	789629
ctg7180000005513	LG11	Rem. overl.	5653
ctg7180000008946	LG11	LG11	71943
ctg7180000008946	LG11	Rem. overl.	12954
ctg7180000010638	LG11	LG11	1152711
ctg7180000010638	LG11	Rem. overl.	58014
ctg7180000010642	LG11	LG11	1571741
ctg7180000006072	LG12	Rem. haplot.	30998
ctg7180000005867	LG12	LG12	277368
ctg7180000006143	LG12	LG12	69026
ctg7180000006445	LG12	LG12	153186
ctg7180000007028	LG12	LG12	72926
ctg7180000009835	LG12	Rem. haplot.	69493
ctg7180000006168	LG12	Rem. haplot.	105590
ctg7180000006373	LG12	Rem. haplot.	29032
ctg7180000006090	LG12	Rem. haplot.	24745
ctg7180000006170	LG12	Rem. haplot.	66589
ctg7180000006459	LG12	Rem. haplot.	83813
ctg7180000006091	LG12	Rem. haplot.	28867
ctg7180000010014	LG12	LG12	313735
ctg7180000010015	LG12	LG12	311517
ctg7180000010015	LG12	Rem. overl.	7749
ctg7180000006024	LG12	LG12	85938
ctg7180000006024	LG12	Rem. overl.	5568
ctg7180000006027	LG12	LG12	33783
ctg7180000006027	LG12	Rem. overl.	7162
ctg7180000008960	LG12	LG12	281704
ctg7180000008960	LG12	Rem. overl.	22191
ctg7180000005517	LG12	Rem. haplot.	46289
ctg7180000006031	LG12	Rem. haplot.	63649
ctg7180000006390	LG12	LG12	50900
ctg7180000005687	LG12	Rem. haplot.	140242
ctg7180000008676	LG12	LG12	294488
ctg7180000008676	LG12	Rem. overl.	8377
ctg7180000006724	LG12	Rem. haplot.	34136
ctg7180000008675	LG12	Rem. haplot.	29720
ctg7180000006667	LG12	Rem. haplot.	21393
ctg7180000006554	LG12	Rem. haplot.	45040
ctg7180000005677	LG12	LG12	32014
ctg7180000005677	LG12	Rem. overl.	4064
ctg7180000006385	LG12	Rem. haplot.	64961
ctg7180000006690	LG12	LG12	73868
ctg7180000006690	LG12	Rem. overl.	4
ctg7180000006387	LG12	LG12	34252
ctg7180000006387	LG12	Rem. overl.	41311
ctg7180000006393	LG12	Rem. haplot.	23395
ctg7180000006410	LG12	LG12	118109
ctg7180000006410	LG12	Rem. overl.	6
ctg7180000006408	LG12	LG12	82557
ctg7180000006408	LG12	Rem. overl.	140161
ctg7180000005924	LG12	LG12	99394
ctg7180000005924	LG12	Rem. overl.	5362
deg7180000006406	LG12	Rem. haplot.	8928
ctg7180000006579	LG12	Rem. haplot.	61128
ctg7180000006068	LG12	LG12	67928
ctg7180000006068	LG12	Rem. overl.	7141
ctg7180000006712	LG12	Rem. haplot.	40211
ctg7180000006194	LG12	Rem. haplot.	10918
ctg7180000005853	LG12	Rem. haplot.	36141
ctg7180000005848	LG12	Rem. haplot.	46357
ctg7180000008726	LG12	LG12	477325
ctg7180000008726	LG12	Rem. overl.	2447
ctg7180000005651	LG12	Rem. haplot.	30963
ctg7180000008727	LG12	LG12	40506
ctg7180000008727	LG12	Rem. overl.	6569
ctg7180000008729	LG12	Rem. haplot.	25470
ctg7180000006360	LG12	Rem. haplot.	108463
ctg7180000008731	LG12	LG12	191195
ctg7180000006463	LG12	Rem. haplot.	84509
ctg7180000005679	LG12	Rem. haplot.	115408
ctg7180000005678	LG12	Rem. haplot.	103635
ctg7180000006175	LG12	LG12	29015
ctg7180000006175	LG12	Rem. overl.	5345
ctg7180000009990	LG12	Rem. haplot.	77483
ctg7180000010240	LG12	LG12	928732
ctg7180000010240	LG12	Rem. overl.	8514
ctg7180000005667	LG12	Rem. haplot.	55671
ctg7180000010239	LG12	LG12	105112
ctg7180000010239	LG12	Rem. overl.	7287
ctg7180000005624	LG12	Rem. haplot.	16451
ctg7180000005618	LG12	Rem. haplot.	21663
ctg7180000010234	LG12	LG12	166040
ctg7180000010234	LG12	Rem. overl.	5
ctg7180000006888	LG12	LG12	43554
ctg7180000010232	LG12	Rem. haplot.	33163
ctg7180000006886	LG12	LG12	179583
ctg7180000006886	LG12	Rem. overl.	25264
ctg7180000005626	LG12	Rem. haplot.	84251
ctg7180000005628	LG12	LG12	15599
ctg7180000005628	LG12	Rem. overl.	23953
ctg7180000005630	LG12	Rem. haplot.	59796
ctg7180000006015	LG12	Rem. haplot.	31993
ctg7180000006148	LG12	Rem. haplot.	23949
ctg7180000006885	LG12	LG12	419871
ctg7180000006885	LG12	Rem. overl.	6904
ctg7180000006049	LG12	Rem. haplot.	10298
ctg7180000005846	LG12	Rem. haplot.	18929
ctg7180000006884	LG12	LG12	96450
ctg7180000005715	LG12	LG12	26600
ctg7180000005715	LG12	Rem. overl.	8438
ctg7180000006980	LG12	LG12	56443
ctg7180000006980	LG12	Rem. overl.	5711
ctg7180000006982	LG12	LG12	37991
ctg7180000006982	LG12	Rem. overl.	32415
ctg7180000005854	LG12	Rem. haplot.	37348
ctg7180000008902	LG12	LG12	82728
ctg7180000008902	LG12	Rem. overl.	1
ctg7180000008901	LG12	LG12	21923
ctg7180000008901	LG12	Rem. overl.	29318
ctg7180000005997	LG12	LG12	106472
ctg7180000008930	LG12	Put. X	60801
ctg7180000008931	LG12	Rem. haplot.	12995
ctg7180000009728	LG12	Put. X	30877
ctg7180000006913	LG12	LG12	106274
ctg7180000006913	LG12	Rem. overl.	11136
ctg7180000009727	LG12	Unassigned	47571
ctg7180000009723	LG12	Put. Y	40594
ctg7180000009730	LG12	Rem. haplot.	44773
ctg7180000006065	LG12	Rem. haplot.	46771
ctg7180000009732	LG12	LG12	11026
ctg7180000009732	LG12	Rem. overl.	45538
ctg7180000006256	LG12	Rem. haplot.	43385
ctg7180000007553	LG12	LG12	74179
ctg7180000006477	LG12	Rem. haplot.	17766
ctg7180000006257	LG12	Rem. haplot.	21705
ctg7180000006254	LG12	Rem. haplot.	30549
ctg7180000006255	LG12	Rem. haplot.	41868
ctg7180000006258	LG12	Rem. haplot.	29646
ctg7180000007336	LG12	LG12	363325
ctg7180000007336	LG12	Rem. overl.	24420
ctg7180000007334	LG12	LG12	23540
ctg7180000007334	LG12	Rem. overl.	14902
ctg7180000005757	LG12	Rem. haplot.	18599
ctg7180000006391	LG12	LG12	43313
ctg7180000006391	LG12	Rem. overl.	20858
ctg7180000008712	LG12	LG12	26353
ctg7180000008712	LG12	Rem. overl.	4982
ctg7180000008713	LG12	LG12	46462
ctg7180000008713	LG12	Rem. overl.	28722
ctg7180000009362	LG12	Rem. haplot.	11732
ctg7180000008066	LG12	LG12	111176
ctg7180000008695	LG12	LG12	57433
ctg7180000008695	LG12	Rem. overl.	27683
ctg7180000006356	LG12	LG12	33700
ctg7180000006356	LG12	Rem. overl.	21129
ctg7180000008693	LG12	LG12	36233
ctg7180000008693	LG12	Rem. overl.	8555
ctg7180000006454	LG12	Rem. haplot.	18703
ctg7180000008715	LG12	LG12	30099
ctg7180000008715	LG12	Rem. overl.	27135
ctg7180000009363	LG12	LG12	25397
ctg7180000009363	LG12	Rem. overl.	15421
ctg7180000006350	LG12	Rem. haplot.	25925
ctg7180000006355	LG12	Rem. haplot.	54425
ctg7180000008691	LG12	LG12	239790
ctg7180000008688	LG12	LG12	159634
ctg7180000008688	LG12	Rem. overl.	6307
ctg7180000006270	LG12	Rem. haplot.	52534
ctg7180000008686	LG12	LG12	34254
ctg7180000008686	LG12	Rem. overl.	6361
ctg7180000008684	LG12	LG12	307708
ctg7180000008684	LG12	Rem. overl.	13009
ctg7180000006138	LG12	Rem. haplot.	21132
ctg7180000006078	LG12	LG12	85669
ctg7180000006078	LG12	Rem. overl.	15914
ctg7180000008682	LG12	Rem. haplot.	23937
ctg7180000008190	LG12	LG12	91374
ctg7180000008190	LG12	Rem. overl.	7713
ctg7180000008188	LG12	LG12	71964
ctg7180000007773	LG12	LG12	176395
ctg7180000007773	LG12	Rem. overl.	38843
ctg7180000006109	LG12	LG12	142487
ctg7180000006109	LG12	Rem. overl.	2
ctg7180000009089	LG12	LG12	87704
ctg7180000006267	LG12	Rem. haplot.	79467
ctg7180000006318	LG12	LG12	43891
ctg7180000006318	LG12	Rem. overl.	6616
ctg7180000009088	LG12	Rem. haplot.	11276
ctg7180000006848	LG12	LG12	46144
ctg7180000006848	LG12	Rem. overl.	20283
ctg7180000006317	LG12	LG12	93929
ctg7180000008741	LG12	LG12	52030
ctg7180000008741	LG12	Rem. overl.	122884
ctg7180000006426	LG12	LG12	23526
ctg7180000006426	LG12	Rem. overl.	36224
ctg7180000008738	LG12	LG12	66188
ctg7180000008738	LG12	Rem. overl.	38622
ctg7180000006425	LG12	Rem. haplot.	18809
ctg7180000006429	LG12	Rem. haplot.	26650
